;Image download;;;;;;;;;;;;;
;;216;153;152;194;179;166;;;;;;;
;;312;153;167;160;170;186;;;;;;;
;;261;173;156;155;165;146;;;;;;;
;;189;312;157;277;172;159;;;;;;;
;;157;153;159;165;176;160;;;;;;;
;Median;227.5;163;160;163;171.5;163;;;;;;;
;Deviation;37;81.7;30.56;23.76;4.42;40.76;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Platypus;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;AsyncTask;IntentServices;;;;;;;
;;148;336;138;157;176;162;;;;;;;
;;325;139;163;155;159;150;;;;;;;
;;217;152;140;160;164;156;;;;;;;
;;221;145;599;136;159;150;;;;;;;
;;144;153;165;149;160;156;;;;;;;
;;258;151;343;142;153;156;;;;;;;
;;140;196;144;156;154;149;;;;;;;
;;169;164;561;140;159;162;;;;;;;
;;157;176;317;145;153;145;;;;;;;
;;154;146;147;147;272;142;;;;;;;
;Median;163;152.5;164;148;159;153;;;;;;;
;Deviation;49.56;36.12;146.64;6.7;21.24;5.6;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Pigeon;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;AsyncTask;IntentServices;;;;;;;
;;294;169;325;156;156;156;;;;;;;
;;347;177;145;162;160;163;;;;;;;
;;153;159;140;149;159;144;;;;;;;
;;159;151;152;151;171;155;;;;;;;
;;161;154;150;154;173;147;;;;;;;
;;192;351;142;150;164;173;;;;;;;
;;217;133;165;165;156;163;;;;;;;
;;192;139;145;144;176;320;;;;;;;
;;199;148;238;148;151;134;;;;;;;
;;158;150;165;155;169;157;;;;;;;
;Median;192;152.5;151;152.5;162;156.5;;;;;;;
;Deviation;47.28;36.36;41.92;5;7.1;30.12;;;;;;;
