;Philosophers problem;
5 Philosophers;
Running by 2s;
Using Semaphore;;;;;;;;;;;;;Using Synchronized;;;;;;;;;;;;;Using Lock and Condition;;;;;;;;;;;;;;
; Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;;
;;372.8;373.8;374.0;558.8;;;2.8;3.9;4.2;4.1;;;;566.8;557.0;552.0;4031.4;;;5.3;5.6;4.7;1833.8;;;;372.4;375.0;372.0;549.4;;;2.2;1.4;3.5;2.3;;;;;
;;378.4;371.0;376.8;562.8;;;3.0;3.7;2.0;2.7;;;;565.6;568.8;563.8;4000.4;;;4.0;2.0;2.6;1813.6;;;;376.6;375.6;371.0;551.6;;;0.8;2.2;5.5;5.5;;;;;
;;375.0;370.4;376.0;558.2;;;1.8;2.9;4.1;3.2;;;;562.8;559.2;559.6;4160.6;;;2.5;4.5;3.4;1911.3;;;;369.2;374.8;370.0;557.2;;;1.2;3.5;2.1;2.9;;;;;
;;363.4;369.2;379.2;553.6;;;5.4;2.0;2.6;6.8;;;;569.6;562.4;556.0;3952.8;;;3.6;3.7;3.2;1835.1;;;;363.2;372.4;365.4;553.2;;;4.9;2.8;3.6;3.3;;;;;
;;378.4;373.0;373.0;551.0;;;4.2;0.6;2.8;3.8;;;;556.8;554.2;566.8;3969.2;;;3.2;2.6;3.8;1790.3;;;;377.0;373.8;373.6;519.2;;;3.2;4.4;2.7;8.7;;;;;
;;373.6;369.6;375.0;557.2;;;1.6;0.8;5.3;3.8;;;;563.6;561.2;551.0;3803.8;;;3.7;4.0;1.4;1744.3;;;;377.6;368.8;367.4;539.4;;;3.8;3.0;4.0;5.2;;;;;
;


; Min;;;;;;Max;;;;;;;Min;;;;;;Max;;;;;;;Min;;;;;;Max
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;;
;;355;391;394;542;;;375;403;406;562;;;;595;593;589;539;;;607;602;596;5647;;;;395;396;392;548;;;408;399;400;559;;;;;
;;390;392;391;555;;;403;399;398;565;;;;585;584;580;549;;;598;608;594;5330;;;;391;395;387;553;;;408;399;393;567;;;;;
;;396;387;392;547;;;402;405;403;555;;;;587;597;586;537;;;609;608;600;5890;;;;391;399;386;549;;;396;405;395;560;;;;;
;;397;388;394;557;;;405;397;399;566;;;;573;587;583;536;;;592;596;593;5670;;;;392;403;397;550;;;398;407;402;558;;;;;
;;395;385;387;557;;;398;403;401;566;;;;593;590;587;546;;;603;597;592;5851;;;;390;386;389;558;;;400;404;397;566;;;;;
;;400;382;394;552;;;405;393;400;564;;;;592;592;582;525;;;601;607;603;5783;;;;390;389;394;539;;;401;399;401;560;;;;;
;;401;394;399;557;;;409;405;406;567;;;;594;591;590;542;;;613;604;603;5976;;;;392;392;394;555;;;409;401;399;562;;;;;
;;393;386;391;540;;;400;406;399;563;;;;589;595;590;535;;;607;611;602;6088;;;;397;397;392;548;;;409;401;398;557;;;;;
;;394;391;391;540;;;406;399;398;553;;;;591;598;467;537;;;611;605;498;5622;;;;385;389;397;554;;;403;401;404;563;;;;;
;;400;391;392;549;;;407;400;401;565;;;;598;586;571;533;;;611;605;585;5854;;;;392;392;392;552;;;405;400;398;560;;;;;
;;396;366;348;552;;;406;370;361;557;;;;602;563;557;538;;;609;569;569;5884;;;;378;370;370;556;;;397;382;377;561;;;;;
;;396;360;368;553;;;400;377;379;557;;;;596;551;559;532;;;608;559;565;5885;;;;393;376;372;553;;;403;380;378;565;;;;;
;;395;376;375;556;;;407;382;378;560;;;;592;555;554;541;;;604;564;575;5953;;;;397;380;368;556;;;402;383;374;566;;;;;
;;398;370;369;557;;;402;382;376;564;;;;594;551;554;541;;;603;562;567;5525;;;;398;375;370;552;;;413;382;374;561;;;;;
;;352;365;367;553;;;365;377;378;564;;;;596;565;561;533;;;610;573;566;5747;;;;390;372;372;547;;;404;381;380;559;;;;;
;;223;367;372;547;;;263;374;378;560;;;;600;554;554;525;;;608;567;562;5567;;;;397;376;371;556;;;405;380;382;560;;;;;
;;295;375;365;550;;;320;382;372;556;;;;594;567;563;549;;;607;571;573;5414;;;;385;372;360;543;;;396;384;370;553;;;;;
;;280;365;366;548;;;332;373;373;560;;;;601;562;558;526;;;614;568;561;5701;;;;393;372;364;549;;;411;377;369;554;;;;;
;;376;375;371;548;;;390;383;379;557;;;;601;555;532;536;;;609;570;547;5751;;;;385;367;360;548;;;398;373;372;562;;;;;
;;367;369;366;549;;;376;375;376;562;;;;598;554;545;538;;;614;566;557;5643;;;;397;371;367;547;;;404;376;370;559;;;;;
;;376;370;365;549;;;383;382;380;565;;;;556;560;551;517;;;572;568;565;5831;;;;373;373;366;544;;;379;377;372;560;;;;;
;;361;366;369;547;;;379;373;377;556;;;;565;563;550;539;;;575;571;558;5572;;;;377;369;370;554;;;386;375;381;564;;;;;
;;373;371;362;545;;;380;381;376;563;;;;566;559;554;538;;;575;568;564;5754;;;;370;374;368;546;;;380;379;375;556;;;;;
;;370;367;365;554;;;382;371;372;572;;;;561;557;555;529;;;574;565;567;5750;;;;369;366;376;548;;;380;375;380;558;;;;;
